title,price,area,rooms,price/m2,link
Apartament 1 camera UMT,260 €                                                /luna,28 m²,1 camera,,https://www.storia.ro/oferta/apartament-1-camera-umt-IDf5W5.html#f68f8cfd81
"Apartament 1 camera, Calea Sagului",270 €                                                /luna,37 m²,1 camera,,https://www.storia.ro/oferta/apartament-1-camera-calea-sagului-IDeI6C.html#f68f8cfd81
"Apartament cu o camera, zona Buziasului",280 €                                                /luna,37 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-zona-buziasului-IDf4kY.html#f68f8cfd81
"Apartament cu o camera, Calea Martiriilor",250 €                                                /luna,38 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-calea-martiriilor-IDeUF1.html#f68f8cfd81
"Garsoniera Complex Studentesc, bloc nou !!",250 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/garsoniera-complex-studentesc-bloc-nou-IDePuw.html#f68f8cfd81
Apartament cu o Camera de Lux Iulius Mall,300 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-de-lux-iulius-mall-IDf28d.html#f68f8cfd81
"PC151 Apartament 1 Camera , Spatios , Zona Gheorghe Lazar",330 €                                                /luna,38 m²,1 camera,,https://www.storia.ro/oferta/pc151-apartament-1-camera-spatios-zona-gheorghe-lazar-IDf3KJ.html#f68f8cfd81
"Garsoniera Ultracentrala, Piata 700 !!",250 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/garsoniera-ultracentrala-piata-700-IDeDtq.html#f68f8cfd81
"apartament cu o camera, Circumvalatiunii",230 €                                                /luna,37 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-circumvalatiunii-IDeUmK.html#f68f8cfd81
Complexul Studentesc Garsoniera 220 Euro,220 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/complexul-studentesc-garsoniera-220-euro-IDezWG.html#f68f8cfd81
Complex Apart 1 cam 200E,200 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/complex-apart-1-cam-200e-IDdH36.html#f68f8cfd81
"Apartament 1 cameră, 30mp, Badea Cârțan!",250 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/apartament-1-camer-30mp-badea-cran-IDakqM.html#f68f8cfd81
Inchiriez garsoniera,200 €                                                /luna,40 m²,1 camera,,https://www.storia.ro/oferta/inchiriez-garsoniera-IDeXOh.html#f68f8cfd81
"Apartament cu o camera, bine pozitionat, zona Iulius Mall",300 €                                                /luna,40 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-bine-pozitionat-zona-iulius-mall-IDf3hi.html#f68f8cfd81
"Garsoniera cocheta, Dacia",190 €                                                /luna,20 m²,1 camera,,https://www.storia.ro/oferta/garsoniera-cocheta-dacia-IDf0Dl.html#f68f8cfd81
Ofer garsoniera in Complexul Studentesc 200 euro,200 €                                                /luna,25 m²,1 camera,,https://www.storia.ro/oferta/ofer-garsoniera-in-complexul-studentesc-200-euro-IDeXZ0.html#f68f8cfd81
Inchiriez pe termen lung garsoniera - zona Soarelui,210 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/inchiriez-pe-termen-lung-garsoniera-zona-soarelui-IDf4ko.html#f68f8cfd81
"PC125, Garsoniera , Spatioasa,Mobilata, Zona Medicinei",270 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/pc125-garsoniera-spatioasa-mobilata-zona-medicinei-IDePUj.html#f68f8cfd81
"PC110,Apartament 1 Camera , Centrala Proprie , Zona Buziasului",270 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/pc110-apartament-1-camera-centrala-proprie-zona-buziasului-IDeMnp.html#f68f8cfd81
Complexul studentes - Gasoniera -  200 Euro -,200 €                                                /luna,21 m²,1 camera,,https://www.storia.ro/oferta/complexul-studentes-gasoniera-200-euro-IDdQCJ.html#f68f8cfd81
Apartament Complex Studentesc 200 Euro,200 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/apartament-complex-studentesc-200-euro-IDdce0.html#f68f8cfd81
LUX Totul Nou Iulius Mall Lipovei,220 €                                                /luna,20 m²,1 camera,,https://www.storia.ro/oferta/lux-totul-nou-iulius-mall-lipovei-IDeWGz.html#f68f8cfd81
Stadion   Apartament 1 camera,250 €                                                /luna,32 m²,1 camera,,https://www.storia.ro/oferta/stadion-apartament-1-camera-ID9umD.html#f68f8cfd81
