Column1,Column2,Column3,Column4,Column5,Column6,Column7
title,price,area,rooms,price/m2,link,zona
PC108.Apartament 2 Camere. Centrala Proprie. Dumbravita,350 €                                                /luna,48 m²,2 camere,,https://www.storia.ro/oferta/pc108-apartament-2-camere-centrala-proprie-dumbravita-IDeLdm.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC121.Apartament 2 Camere. Centrala Proprie. Zona Aradului,500 €                                                /luna,72 m²,2 camere,,https://www.storia.ro/oferta/pc121-apartament-2-camere-centrala-proprie-zona-aradului-IDeOAY.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC112.Apartament 2 Camere. Spatios . Zona Lipovei,450 €                                                /luna,84 m²,2 camere,,https://www.storia.ro/oferta/pc112-apartament-2-camere-spatios-zona-lipovei-IDeMtC.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
AR086 Apartament 2 camere. Zona Circumvalatiunii. prima inchiriere,500 €                                                /luna,62 m²,2 camere,,https://www.storia.ro/oferta/ar086-apartament-2-camere-zona-circumvalatiunii-prima-inchiriere-IDcS0f.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
FM854 Zona Lipovei. Apartament 2 camere. Centrala proprie,400 €                                                /luna,67 m²,2 camere,,https://www.storia.ro/oferta/fm854-zona-lipovei-apartament-2-camere-centrala-proprie-IDeNi4.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
PC114.Apartament 2 Camere. Centrala Proprie. Zona Aradului,450 €                                                /luna,62 m²,2 camere,,https://www.storia.ro/oferta/pc114-apartament-2-camere-centrala-proprie-zona-aradului-IDeN4r.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Apartament 2 cam. Piata Victoriei . LUX !!,550 €                                                /luna,53 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-cam-piata-victoriei-lux-IDdCGv.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Cetate
Apartament cu 2 camere decomnadat cu centrala Zona  Girocului,330 €                                                /luna,70 m²,2 camere,,https://www.storia.ro/oferta/apartament-cu-2-camere-decomnadat-cu-centrala-zona-girocului-IDe7XR.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Cetate
PC035 . Apartament 2 Camere. Loc Propriu De Parcare. Dumbravita,400 €                                                /luna,90 m²,2 camere,,https://www.storia.ro/oferta/pc035-apartament-2-camere-loc-propriu-de-parcare-dumbravita-IDexN3.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
OP673 Torontalului.Apartament 2 Camere. Centrala Proprie,360 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/op673-torontalului-apartament-2-camere-centrala-proprie-IDevSr.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Circumvalatiunii
Bloc nou - foarte spatios - renovat complet - prima inchiriere!,500 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/bloc-nou-foarte-spatios-renovat-complet-prima-inchiriere-IDd3VL.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Lipovei- 2 cam + Terasa- Recent renovat- 410 Eu,410 €                                                /luna,97 m²,2 camere,,https://www.storia.ro/oferta/lipovei-2-cam-terasa-recent-renovat-410-eu-IDaouo.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
PC022. Apartament 2 Camere . Centrala Proprie . Zona Circumvalatiunii,500 €                                                /luna,74 m²,2 camere,,https://www.storia.ro/oferta/pc022-apartament-2-camere-centrala-proprie-zona-circumvalatiunii-IDevBA.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC127. Apartament 2 Camere. Parcare Proprie. Giroc,350 €                                                /luna,54 m²,2 camere,,https://www.storia.ro/oferta/pc127-apartament-2-camere-parcare-proprie-giroc-IDeQ3d.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC062. Apartament 2 Camere. Spatios . Zona Medicina,525 €                                                /luna,66 m²,2 camere,,https://www.storia.ro/oferta/pc062-apartament-2-camere-spatios-zona-medicina-IDeA1u.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC103 . Apartament 2 Camere . Parcare Proprie. Zona Aradului,450 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/pc103-apartament-2-camere-parcare-proprie-zona-aradului-IDeIJF.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
AT060. Apartament 2 Camere. Centrala Proprie. Zona Aradului,400 €                                                /luna,72 m²,2 camere,,https://www.storia.ro/oferta/at060-apartament-2-camere-centrala-proprie-zona-aradului-IDf1df.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Aradului
AT059. Apartament 2 Camere. Centrala Proprie. Zona Soarelui,400 €                                                /luna,70 m²,2 camere,,https://www.storia.ro/oferta/at059-apartament-2-camere-centrala-proprie-zona-soarelui-IDf167.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Zona Soarelui
Garsoniera Complex Studentesc. bloc nou !!,250 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/garsoniera-complex-studentesc-bloc-nou-IDePuw.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Complexul Studentesc
PC124.Apartament 2 Camere. Renovat. Zona Balcescu,450 €                                                /luna,66 m²,2 camere,,https://www.storia.ro/oferta/pc124-apartament-2-camere-renovat-zona-balcescu-IDePi8.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
