Column1,Column2,Column3,Column4,Column5,Column6,Column7
FM716 Apartament 2 camre. Zona Aradului,400 €                                                /luna,78 m²,2 camere,,https://www.storia.ro/oferta/fm716-apartament-2-camre-zona-aradului-IDdAWx.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Aradului
PC123.Apartament 2 Camere.Centrala Proprie. Zona Dorobantilor,350 €                                                /luna,66 m²,2 camere,,https://www.storia.ro/oferta/pc123-apartament-2-camere-centrala-proprie-zona-dorobantilor-IDePem.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC137 Apartament 2 Camere . Spatios . Complexul Studentesc,350 €                                                /luna,54 m²,2 camere,,https://www.storia.ro/oferta/pc137-apartament-2-camere-spatios-complexul-studentesc-IDeTej.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Apartament 2 camere Sagului,450 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-sagului-IDf6MC.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Steaua-Fratelia
PC122. Apartament 2 Camere. Centrala Proprie. Zona Aradului,550 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/pc122-apartament-2-camere-centrala-proprie-zona-aradului-IDeOXn.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC109.Apartament 1 Camera . Spatios . Zona Girocului,280 €                                                /luna,52 m²,1 camera,,https://www.storia.ro/oferta/pc109-apartament-1-camera-spatios-zona-girocului-IDeLjN.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
AT078. Apartament 2 Camere. Centrala Proprie. Zona Medicina,420 €                                                /luna,57 m²,2 camere,,https://www.storia.ro/oferta/at078-apartament-2-camere-centrala-proprie-zona-medicina-IDf46b.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Tipografilor
AR232 Apartament 2 camere. Zona Medicina,350 €                                                /luna,40 m²,2 camere,,https://www.storia.ro/oferta/ar232-apartament-2-camere-zona-medicina-IDeGNm.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC089.Apartament 2 Camere . Centrala Proprie . Dumbravita,550 €                                                /luna,72 m²,2 camere,,https://www.storia.ro/oferta/pc089-apartament-2-camere-centrala-proprie-dumbravita-IDeGMd.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC069.Apartament 2 Camere . Centrala Proprie. Dumbravita,380 €                                                /luna,58 m²,2 camere,,https://www.storia.ro/oferta/pc069-apartament-2-camere-centrala-proprie-dumbravita-IDeB01.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
AR255 Apartament 2 camere. Zona Girocului,290 €                                                /luna,53 m²,2 camere,,https://www.storia.ro/oferta/ar255-apartament-2-camere-zona-girocului-IDeWvA.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
2 Camere +Dining cu Centrala gaz Bloc 2017 Braytim-Mures 380 euro,380 €                                                /luna,63 m²,2 camere,,https://www.storia.ro/oferta/2-camere-dining-cu-centrala-gaz-bloc-2017-braytim-mures-380-euro-ID7Qj0.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Tipografilor
Apartament cu o Camera de Lux Iulius Mall,300 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-de-lux-iulius-mall-IDf28d.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
Simion Barnutiu. Decomandat. Mobilat si Utilat!!,350 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/simion-barnutiu-decomandat-mobilat-si-utilat-IDf6Vo.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Zona Dorobantilor
Apartament 2 camere aparoape de Isho.,400 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-aparoape-de-isho-IDevBl.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Zona Kogalniceanu
COMISION ZERO ! Ap 2 camere - Dorobanti,330 €                                                /luna,55 m²,2 camere,,https://www.storia.ro/oferta/comision-zero-ap-2-camere-dorobanti-IDf52y.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Zona Dorobantilor
"Apartament in ansamblu rezidential ""City of Mara""",550 €                                                /luna,63 m²,2 camere,,https://www.storia.ro/oferta/apartament-in-ansamblu-rezidential-city-of-mara-IDdY16.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Ap complex rezidential  The Ring-mobilat si utilat lux-400 euro,400 €                                                /luna,100 m²,2 camere,,https://www.storia.ro/oferta/ap-complex-rezidential-the-ring-mobilat-si-utilat-lux-400-euro-IDe33I.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Chirie apartament 2 camere Porumbescu,280 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/chirie-apartament-2-camere-porumbescu-ID6d81.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Mehala
Ap 2 camere - Dorobantilor,300 €                                                /luna,54 m²,2 camere,,https://www.storia.ro/oferta/ap-2-camere-dorobantilor-IDegI3.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Ronat
PC042.Apartament 2 Camere.Centrala Proprie.Zona Circumvalatiunii,400 €                                                /luna,87 m²,2 camere,,https://www.storia.ro/oferta/pc042-apartament-2-camere-centrala-proprie-zona-circumvalatiunii-IDeyiS.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC153 Apartament 2 Camere . Centrala Proprie . Complexul Studentesc,400 €                                                /luna,73 m²,2 camere,,https://www.storia.ro/oferta/pc153-apartament-2-camere-centrala-proprie-complexul-studentesc-IDf4x8.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
apartament cu o camera. Circumvalatiunii,230 €                                                /luna,37 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-circumvalatiunii-IDeUmK.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Circumvalatiunii
Calea Aradului-Ap. Mansarda,340 €                                                /luna,75 m²,2 camere,,https://www.storia.ro/oferta/calea-aradului-ap-mansarda-ID5dIi.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Aradului
Complexul Studentesc Garsoniera 220 Euro,220 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/complexul-studentesc-garsoniera-220-euro-IDezWG.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Complexul Studentesc
Apartament 2 camere. 45mp. Bălcescu!,310 €                                                /luna,53 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-45mp-blcescu-IDaku7.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Sagului
2  camere. lux. Aradului,450 €                                                /luna,62 m²,2 camere,,https://www.storia.ro/oferta/2-camere-lux-aradului-IDeLak.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Aradului
Complex Apart 1 cam 200E,200 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/complex-apart-1-cam-200e-IDdH36.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Complexul Studentesc
FM791 Zona Bucovina. Apartament 2 camere,380 €                                                /luna,67 m²,2 camere,,https://www.storia.ro/oferta/fm791-zona-bucovina-apartament-2-camere-IDeaQU.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Apartament cu 2 camere. Aradului,430 €                                                /luna,71 m²,2 camere,,https://www.storia.ro/oferta/apartament-cu-2-camere-aradului-IDeLkD.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Aradului
2 Camere Decomandate+ centrala zona Soarelui 280 euro,280 €                                                /luna,59 m²,2 camere,,https://www.storia.ro/oferta/2-camere-decomandate-centrala-zona-soarelui-280-euro-ID7SqX.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Ciarda Rosie
Circumvalatiunii - 2 camere. decomandat,320 €                                                /luna,70 m²,2 camere,,https://www.storia.ro/oferta/circumvalatiunii-2-camere-decomandat-IDeJGn.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Torontalului.Decomandat.lux,450 €                                                /luna,52 m²,2 camere,,https://www.storia.ro/oferta/torontalului-decomandat-lux-IDbU03.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
OP759 Zona Bucovina. Apartament 2 Camere. Centrala Proprie,330 €                                                /luna,62 m²,2 camere,,https://www.storia.ro/oferta/op759-zona-bucovina-apartament-2-camere-centrala-proprie-IDaNTD.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Mehala
FM740 Apartament 2 camere. Zona Ultracentrala,450 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/fm740-apartament-2-camere-zona-ultracentrala-IDdK3p.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Cetate
Apartament 2 camere. cladire noua Mall Torontalului,390 €                                                /luna,70 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-cladire-noua-mall-torontalului-ID79BL.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Tipografilor
ap. 2 camere. zona Circumvalatiunii. la 2 minute de Iulius Mall,380 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/ap-2-camere-zona-circumvalatiunii-la-2-minute-de-iulius-mall-IDf5ne.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Dumbravita - Ap. 2 camere -Dechatlon - Prima inchiriere,350 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/dumbravita-ap-2-camere-dechatlon-prima-inchiriere-IDf0Hd.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Birou o camera Gara de Nord 220 euro,220 €                                                /luna,46 m²,1 camera,,https://www.storia.ro/oferta/birou-o-camera-gara-de-nord-220-euro-IDeVWm.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Iosefin-Dambovita
Ap nou 2 camere ultramodern   -  ! Zona aradului,380 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/ap-nou-2-camere-ultramodern-zona-aradului-IDeGOy.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Aradului
Apartament 2 camere. renovat. totul nou. Sagului.,385 €                                                /luna,54 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-renovat-totul-nou-sagului-IDeGvF.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Calea Sagului
FM631 Apartament 2 camere. Zona Soarelui,450 €                                                /luna,72 m²,2 camere,,https://www.storia.ro/oferta/fm631-apartament-2-camere-zona-soarelui-IDbIq5.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
2 camere. Circumvalatiunii- Iulius Mall. renovat. mobilat. 380 eu,380 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/2-camere-circumvalatiunii-iulius-mall-renovat-mobilat-380-eu-IDGfK.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Circumvalatiunii
Apartament 2 camere. Complex Studentesc,350 €                                                /luna,55 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-complex-studentesc-IDeD14.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Complexul Studentesc
Inchiriez garsoniera,200 €                                                /luna,40 m²,1 camera,,https://www.storia.ro/oferta/inchiriez-garsoniera-IDeXOh.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Dumbravita Kaufland nou inchiriere,350 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/dumbravita-kaufland-nou-inchiriere-IDdB60.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC053.Apartament 2 Camere.Centrala Proprie. Zona Odobescu,400 €                                                /luna,72 m²,2 camere,,https://www.storia.ro/oferta/pc053-apartament-2-camere-centrala-proprie-zona-odobescu-IDezf4.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Garsoniera cocheta. Dacia,190 €                                                /luna,20 m²,1 camera,,https://www.storia.ro/oferta/garsoniera-cocheta-dacia-IDf0Dl.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Circumvalatiunii
Apartament 2 camere bloc nou. semicentral zona Cartan-Timocului,320 €                                                /luna,55 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-bloc-nou-semicentral-zona-cartan-timocului-IDdGhr.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
PC072 . Apartament 1 Camera . Spatios . Take Ionescu,330 €                                                /luna,48 m²,1 camera,,https://www.storia.ro/oferta/pc072-apartament-1-camera-spatios-take-ionescu-IDeBki.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Apartament 2 camere –zona Circumvalatiunii,350 €                                                /luna,63 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-zona-circumvalatiunii-IDf5bq.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
OP734 Zona Tipografilor. Apartament 2 Camere.Mobilat si Utilat,450 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/op734-zona-tipografilor-apartament-2-camere-mobilat-si-utilat-ID7eUs.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Tipografilor
Apartament 2 camere semidecomandat. 42 mp. Girocului,280 €                                                /luna,50 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-semidecomandat-42-mp-girocului-IDf3xf.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
Inchiriez pe termen lung garsoniera - zona Soarelui,210 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/inchiriez-pe-termen-lung-garsoniera-zona-soarelui-IDf4ko.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Ciarda Rosie
PC128. Apartament 2 Camere. Mobilat. Zona Centrala,300 €                                                /luna,42 m²,2 camere,,https://www.storia.ro/oferta/pc128-apartament-2-camere-mobilat-zona-centrala-IDeQs7.html#dd52f5ad6e,Apartament de inchiriat: Timis (judet). Timisoara
