Column1,Column2,Column3,Column4,Column5,Column6,Column7
title,price,area,rooms,price/m2,link,zona
AT015. Zona Complex. Apartament 1 camera. Decomandat,260 €                                                /luna,35 m²,1 camera,,https://www.storia.ro/oferta/at015-zona-complex-apartament-1-camera-decomandat-IDeSbC.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Complexul Studentesc
FM854 Zona Lipovei. Apartament 2 camere. Centrala proprie,400 €                                                /luna,67 m²,2 camere,,https://www.storia.ro/oferta/fm854-zona-lipovei-apartament-2-camere-centrala-proprie-IDeNi4.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
Apartament cu o camera. Calea Sagului,200 €                                                /luna,38 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-calea-sagului-IDeWIQ.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sagului
De inchiriat apartament in complex,300 €                                                /luna,57 m²,2 camere,,https://www.storia.ro/oferta/de-inchiriat-apartament-in-complex-IDeWKV.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Complexul Studentesc
Apartament cu o camera. bine pozitionat. zona Iulius Mall,300 €                                                /luna,40 m²,1 camera,,https://www.storia.ro/oferta/apartament-cu-o-camera-bine-pozitionat-zona-iulius-mall-IDf3hi.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
PC125. Garsoniera . Spatioasa.Mobilata. Zona Medicinei,270 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/pc125-garsoniera-spatioasa-mobilata-zona-medicinei-IDePUj.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
PC110.Apartament 1 Camera . Centrala Proprie . Zona Buziasului,270 €                                                /luna,30 m²,1 camera,,https://www.storia.ro/oferta/pc110-apartament-1-camera-centrala-proprie-zona-buziasului-IDeMnp.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
Complexul studentes - Gasoniera -  200 Euro -,200 €                                                /luna,21 m²,1 camera,,https://www.storia.ro/oferta/complexul-studentes-gasoniera-200-euro-IDdQCJ.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Complexul Studentesc
FM603 Zona Lipovei. Apartament 2 camere. Decomandat,330 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/fm603-zona-lipovei-apartament-2-camere-decomandat-IDaYfN.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
Apartament Complex Studentesc 200 Euro,200 €                                                /luna,26 m²,1 camera,,https://www.storia.ro/oferta/apartament-complex-studentesc-200-euro-IDdce0.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Complexul Studentesc
2 camere decomanadat. Circumvalatiunii langa Iulius Mall. 380 eu,380 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/2-camere-decomanadat-circumvalatiunii-langa-iulius-mall-380-eu-IDf3QJ.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
Aradului - 2 camere - centrala proprie - 350 euro,350 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/aradului-2-camere-centrala-proprie-350-euro-IDeYWc.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Aradului
Inchiriez apartament 2 camere zona Centrala - 16254,500 €                                                /luna,85 m²,2 camere,,https://www.storia.ro/oferta/inchiriez-apartament-2-camere-zona-centrala-16254-IDevtH.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
LUX Totul Nou Iulius Mall Lipovei,220 €                                                /luna,20 m²,1 camera,,https://www.storia.ro/oferta/lux-totul-nou-iulius-mall-lipovei-IDeWGz.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
Take Ionescu- 2 cam- Et 1- 400 Eu,400 €                                                /luna,65 m²,2 camere,,https://www.storia.ro/oferta/take-ionescu-2-cam-et-1-400-eu-IDcsHM.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Tipografilor
Dumbravita- 2 cam- Modern Amenajat- 400 Eu,400 €                                                /luna,64 m²,2 camere,,https://www.storia.ro/oferta/dumbravita-2-cam-modern-amenajat-400-eu-IDdtA8.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Aradului
De inchiriat ! apartament deosebit in bloc nou !,350 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/de-inchiriat-apartament-deosebit-in-bloc-nou-ID9aCi.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sever Bocu
Super apartament+curte. 2 camere. Balcescu!,420 €                                                /luna,55 m²,2 camere,,https://www.storia.ro/oferta/super-apartament-curte-2-camere-balcescu-IDew1N.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Martirilor
Medicina - Take Ionescu cu Centrala,350 €                                                /luna,66 m²,2 camere,,https://www.storia.ro/oferta/medicina-take-ionescu-cu-centrala-IDdtBi.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
Apartament cu 2 camere. Lipovei,300 €                                                /luna,76 m²,2 camere,,https://www.storia.ro/oferta/apartament-cu-2-camere-lipovei-IDeMrI.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Complexul Studentesc
Apartament cu 2 camere de închiriat în zona Dacia,300 €                                                /luna,48 m²,2 camere,,https://www.storia.ro/oferta/apartament-cu-2-camere-de-nchiriat-n-zona-dacia-IDeJxn.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Circumvalatiunii
spatiu birouri. 75 mp. ultracentral. aproape de hotel Continental,500 €                                                /luna,90 m²,2 camere,,https://www.storia.ro/oferta/spatiu-birouri-75-mp-ultracentral-aproape-de-hotel-continental-ID7qUm.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
2 camere. decomandat. Bucovina,360 €                                                /luna,66 m²,2 camere,,https://www.storia.ro/oferta/2-camere-decomandat-bucovina-IDeFXn.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Mehala
Apartament 2 camere. zona Balcescu,300 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-zona-balcescu-IDf5bj.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sagului
Apartament 2 camere -zona Balcescu,64 500 €                                                /luna,60 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-zona-balcescu-IDf5dp.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Sagului
Apartament 2 camere -zona Dacia,420 €                                                /luna,50 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-zona-dacia-IDf5by.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
Stadion   Apartament 1 camera,250 €                                                /luna,32 m²,1 camera,,https://www.storia.ro/oferta/stadion-apartament-1-camera-ID9umD.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Zona Soarelui
Revolutiei - Medicina - Hotel Continental,400 €                                                /luna,55 m²,2 camere,,https://www.storia.ro/oferta/revolutiei-medicina-hotel-continental-ID9MRd.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Timisoara
Apartament 2 camere bloc nou. Torontalului.,350 €                                                /luna,54 m²,2 camere,,https://www.storia.ro/oferta/apartament-2-camere-bloc-nou-torontalului-IDeutt.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Calea Aradului
inchiriez apartament o camera 330 euro,330 €                                                /luna,58 m²,1 camera,,https://www.storia.ro/oferta/inchiriez-apartament-o-camera-330-euro-IDeXRg.html#6c1d2838a5,Apartament de inchiriat: Timis (judet). Cetate
