Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
OP499 Dambovita. Apartament 1 Camera. Centrala Proprie,45 000 €,41 m²,1 camera,1 098 €/m²,https://www.storia.ro/oferta/op499-dambovita-apartament-1-camera-centrala-proprie-IDcFpe.html#5437675e75
Complex-Olimpia   Apartament  1 camera 36.500 Euro,36 500 €,33 m²,1 camera,1 106 €/m²,https://www.storia.ro/oferta/complex-olimpia-apartament-1-camera-36-500-euro-IDa94a.html#5437675e75
Complex Studentesc   Apartament  1 camera 35.000 Euro,35 000 €,38 m²,1 camera,921 €/m²,https://www.storia.ro/oferta/complex-studentesc-apartament-1-camera-35-000-euro-ID9TVL.html#5437675e75
Garsoniera.etaj 1 !,32 900 €,28 m²,1 camera,1 175 €/m²,https://www.storia.ro/oferta/garsoniera-etaj-1-IDeTVY.html#5437675e75
1 camera Buziasului,36 000 €,35 m²,1 camera,1 029 €/m²,https://www.storia.ro/oferta/1-camera-buziasului-IDdXpv.html#5437675e75
OP735 Soarelui.Garsoniera.Mobilata si Utilata,35 000 €,28 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/op735-soarelui-garsoniera-mobilata-si-utilata-IDeWVj.html#5437675e75
AR108 Garsoniera. Zona Buziasului,30 000 €,28 m²,1 camera,1 071 €/m²,https://www.storia.ro/oferta/ar108-garsoniera-zona-buziasului-IDdsdT.html#5437675e75
Girocului Ap 1 cam,23 000 €,18 m²,1 camera,1 278 €/m²,https://www.storia.ro/oferta/girocului-ap-1-cam-IDe5nK.html#5437675e75
Braytim Ap 1 cam Nou . La Cheie,36 000 €,39 m²,1 camera,923 €/m²,https://www.storia.ro/oferta/braytim-ap-1-cam-nou-la-cheie-IDex1F.html#5437675e75
Braytim Ap 1 cam Nou . La Cheie,41 000 €,42 m²,1 camera,976 €/m²,https://www.storia.ro/oferta/braytim-ap-1-cam-nou-la-cheie-IDdCiD.html#5437675e75
Braytim Ap 1 cam Nou . La Cheie,39 000 €,42 m²,1 camera,929 €/m²,https://www.storia.ro/oferta/braytim-ap-1-cam-nou-la-cheie-IDdCi6.html#5437675e75
Calea Aradului Garsoniera  Renovata.Mobilata,24 000 €,19 m²,1 camera,1 263 €/m²,https://www.storia.ro/oferta/calea-aradului-garsoniera-renovata-mobilata-IDdvsy.html#5437675e75
Stadion  Apartament  1 camera 37.500 Euro,37 500 €,44 m²,1 camera,852 €/m²,https://www.storia.ro/oferta/stadion-apartament-1-camera-37-500-euro-ID9Raj.html#5437675e75
Garsoniera 18mp zona Complex Studentesc,27 999 €,22 m²,1 camera,1 273 €/m²,https://www.storia.ro/oferta/garsoniera-18mp-zona-complex-studentesc-IDdvaS.html#5437675e75
OT020 Apartament 1 Camera. Decomandat. Iulius Mall,43 000 €,44 m²,1 camera,977 €/m²,https://www.storia.ro/oferta/ot020-apartament-1-camera-decomandat-iulius-mall-IDf3wD.html#5437675e75
Inchiriaza-l imediat. zona Telegrafului,36 500 €,22 m²,1 camera,1 659 €/m²,https://www.storia.ro/oferta/inchiriaza-l-imediat-zona-telegrafului-IDePjF.html#5437675e75
Aradului amenajat 33mp,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/aradului-amenajat-33mp-IDd7tt.html#5437675e75
Renovat Iulius Mall cu Scara Interioara,40 000 €,45 m²,2 camere,889 €/m²,https://www.storia.ro/oferta/renovat-iulius-mall-cu-scara-interioara-IDebss.html#5437675e75
Stadion  Garsoniera    28.000 Euro,28 000 €,30 m²,1 camera,933 €/m²,https://www.storia.ro/oferta/stadion-garsoniera-28-000-euro-ID9CuD.html#5437675e75
Apartament 1 Camera Decomandat cu Balcon zona Buziasului,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-cu-balcon-zona-buziasului-IDdOer.html#5437675e75
Garsoniera  zona Buziasului,29 000 €,29 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/garsoniera-zona-buziasului-ID9pVX.html#5437675e75
AR169 Garsoniera. Zona Complexul Studentesc,30 000 €,25 m²,1 camera,1 200 €/m²,https://www.storia.ro/oferta/ar169-garsoniera-zona-complexul-studentesc-IDe2Vz.html#5437675e75
1 camera . comfort 1 . Sagului - Iuliu Maniu,43 000 €,45 m²,1 camera,956 €/m²,https://www.storia.ro/oferta/1-camera-comfort-1-sagului-iuliu-maniu-IDeCTr.html#5437675e75
1 camera Buziasului,23 800 €,18 m²,1 camera,1 322 €/m²,https://www.storia.ro/oferta/1-camera-buziasului-IDdXot.html#5437675e75
Garsoniera zona Girocului,27 500 €,20 m²,1 camera,1 375 €/m²,https://www.storia.ro/oferta/garsoniera-zona-girocului-IDf1et.html#5437675e75
Apartament 1 camera bloc nou Bucovina!,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/apartament-1-camera-bloc-nou-bucovina-IDduuI.html#5437675e75
Garsoniera. renovata. zona Semicentrala,19 900 €,14.40 m²,1 camera,1 382 €/m²,https://www.storia.ro/oferta/garsoniera-renovata-zona-semicentrala-IDf44G.html#5437675e75
Giroc - U.M. mobilat si utilat,42 000 €,44 m²,1 camera,955 €/m²,https://www.storia.ro/oferta/giroc-u-m-mobilat-si-utilat-IDeF1S.html#5437675e75
Buziasului. racordat la gaz. ideal ca investitie,32 800 €,29 m²,1 camera,1 131 €/m²,https://www.storia.ro/oferta/buziasului-racordat-la-gaz-ideal-ca-investitie-IDcY9A.html#5437675e75
Sagului. Ap 1 cam. decomandat 32mp UTIL,38 000 €,40 m²,1 camera,950 €/m²,https://www.storia.ro/oferta/sagului-ap-1-cam-decomandat-32mp-util-IDf0lp.html#5437675e75
Garsoniera. zona Buziasului,31 000 €,32 m²,1 camera,969 €/m²,https://www.storia.ro/oferta/garsoniera-zona-buziasului-IDf3ik.html#5437675e75
LUX Apartament 1 Camera Bloc NOU zona Braytim,42 000 €,40 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/lux-apartament-1-camera-bloc-nou-zona-braytim-IDe8tz.html#5437675e75
Modern- Garsoniera - Renovat,21 000 €,20 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/modern-garsoniera-renovat-IDdUCB.html#5437675e75
OT028 Garsoniera. Mobilata-Utilata. Zona Blascovici,32 500 €,24 m²,1 camera,1 354 €/m²,https://www.storia.ro/oferta/ot028-garsoniera-mobilata-utilata-zona-blascovici-IDf4yR.html#5437675e75
De vanzare garsoniera in Zona Tipografilor din Timisoara,38 500 €,32 m²,1 camera,1 203 €/m²,https://www.storia.ro/oferta/de-vanzare-garsoniera-in-zona-tipografilor-din-timisoara-IDeGjh.html#5437675e75
Garsonieră etaj intermediar UMT,22 900 €,16 m²,1 camera,1 431 €/m²,https://www.storia.ro/oferta/garsonier-etaj-intermediar-umt-IDeWgG.html#5437675e75
Buziasului. ideal ca investitie,30 000 €,29 m²,1 camera,1 034 €/m²,https://www.storia.ro/oferta/buziasului-ideal-ca-investitie-IDdreY.html#5437675e75
Sagului 2 cam. nedecom. sf 32 util. 43.000 eur NEGOCIABIL!,43 000 €,40 m²,2 camere,1 075 €/m²,https://www.storia.ro/oferta/sagului-2-cam-nedecom-sf-32-util-43-000-eur-negociabil-IDf2xH.html#5437675e75
Zona Telegrafului. garsoniera pretabila pentru investitie,37 500 €,26 m²,1 camera,1 442 €/m²,https://www.storia.ro/oferta/zona-telegrafului-garsoniera-pretabila-pentru-investitie-IDf4WC.html#5437675e75
Buziasului. etaj intermediar. mobilat si utilat,40 000 €,35 m²,1 camera,1 143 €/m²,https://www.storia.ro/oferta/buziasului-etaj-intermediar-mobilat-si-utilat-IDf4H7.html#5437675e75
Buziasului. garsoniera. parter 24mp utililata si mobilata,29 999 €,30 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/buziasului-garsoniera-parter-24mp-utililata-si-mobilata-IDf0WG.html#5437675e75
Steaua. o camera. parter inalt,41 999 €,50 m²,1 camera,840 €/m²,https://www.storia.ro/oferta/steaua-o-camera-parter-inalt-IDf0Cx.html#5437675e75
