Column1,Column2,Column3,Column4,Column5,Column6
Garsoniera 22mp  recent renovata  zona Buziasului,31 500 €,26.40 m²,1 camera,1 193 €/m²,https://www.storia.ro/oferta/garsoniera-22mp-recent-renovata-zona-buziasului-IDf3hl.html#d999e08e80
OT863 Apartament 2 Camere  Amenajat  Zona Sagului,45 000 €,38 m²,2 camere,1 184 €/m²,https://www.storia.ro/oferta/ot863-apartament-2-camere-amenajat-zona-sagului-IDdXyH.html#d999e08e80
Bogdanestilor- zona linistita- aproape de parc- et 3!,41 000 €,43 m²,1 camera,953 €/m²,https://www.storia.ro/oferta/bogdanestilor-zona-linistita-aproape-de-parc-et-3-IDePy5.html#d999e08e80
2 Camere Sagului-Unicarm 38.000 euro,38 000 €,36 m²,2 camere,1 056 €/m²,https://www.storia.ro/oferta/2-camere-sagului-unicarm-38-000-euro-IDeLxY.html#d999e08e80
Blajcovici- 3 cam- et 3- mobilat  utilat!,41 000 €,45 m²,1 camera,911 €/m²,https://www.storia.ro/oferta/blajcovici-3-cam-et-3-mobilat-utilat-IDf0AA.html#d999e08e80
R01813 Apartament cu 2 camere Circumvalatiunii Timisoara Licitatie,42 998 €,35.40 m²,2 camere,1 215 €/m²,https://www.storia.ro/oferta/r01813-apartament-cu-2-camere-circumvalatiunii-timisoara-licitatie-IDf2Gv.html#d999e08e80
Aradului- 1 Cam- Pretabil Investitie- 45.000 Eu,45 000 €,43 m²,1 camera,1 047 €/m²,https://www.storia.ro/oferta/aradului-1-cam-pretabil-investitie-45-000-eu-IDeuYv.html#d999e08e80
Bogdanestilor- 1 cam- decomandat- mobilat  utilat complet!,41 000 €,45 m²,1 camera,911 €/m²,https://www.storia.ro/oferta/bogdanestilor-1-cam-decomandat-mobilat-utilat-complet-IDeEwJ.html#d999e08e80
Garsoniera de vanzare  zona medicina,31 000 €,27 m²,1 camera,1 148 €/m²,https://www.storia.ro/oferta/garsoniera-de-vanzare-zona-medicina-IDeEfy.html#d999e08e80
Garsoniera  Calea Buziasului  AEM,31 000 €,24 m²,1 camera,1 292 €/m²,https://www.storia.ro/oferta/garsoniera-calea-buziasului-aem-IDf3io.html#d999e08e80
Apartamente 1 2 3 camere  de la 1000 mp!!,41 000 €,43 m²,1 camera,953 €/m²,https://www.storia.ro/oferta/apartamente-1-2-3-camere-de-la-1000-mp-IDcB5p.html#d999e08e80
AT050  Apartament 1 Camera  Mobilat  Zona Buziasului,35 000 €,31 m²,1 camera,1 129 €/m²,https://www.storia.ro/oferta/at050-apartament-1-camera-mobilat-zona-buziasului-IDeYcc.html#d999e08e80
Garsoniera confort 1  Lunei,39 000 €,36 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/garsoniera-confort-1-lunei-IDeT4b.html#d999e08e80
Bogdanestilor - langa mijloc de transport - etaj 3 - zona linistita!,41 000 €,35 m²,1 camera,1 171 €/m²,https://www.storia.ro/oferta/bogdanestilor-langa-mijloc-de-transport-etaj-3-zona-linistita-IDeRD2.html#d999e08e80
Apartament 2 camere semidecomandat  Blascovici,43 800 €,41 m²,2 camere,1 068 €/m²,https://www.storia.ro/oferta/apartament-2-camere-semidecomandat-blascovici-IDf3zM.html#d999e08e80
girocului lidia parter inalt 1 camera,38 500 €,30 m²,1 camera,1 283 €/m²,https://www.storia.ro/oferta/girocului-lidia-parter-inalt-1-camera-IDf4wM.html#d999e08e80
Apartament cu centrala,37 000 €,46 m²,1 camera,804 €/m²,https://www.storia.ro/oferta/apartament-cu-centrala-ID7Dam.html#d999e08e80
OP630 Aradului  Garsoniera Renovata Nemobilata,30 500 €,25 m²,1 camera,1 220 €/m²,https://www.storia.ro/oferta/op630-aradului-garsoniera-renovata-nemobilata-IDekkS.html#d999e08e80
Dambovita- 1 cam- Centrala P.- Investitie- 38.000 Eu,38 000 €,44 m²,1 camera,864 €/m²,https://www.storia.ro/oferta/dambovita-1-cam-centrala-p-investitie-38-000-eu-IDdD0p.html#d999e08e80
Apartament 1 camera  curte comuna  zona Cetatii,35 999 €,32.40 m²,1 camera,1 111 €/m²,https://www.storia.ro/oferta/apartament-1-camera-curte-comuna-zona-cetatii-IDeTd5.html#d999e08e80
Sagului- 1 cam- Pretabil pentru investitie!,19 500 €,23 m²,1 camera,848 €/m²,https://www.storia.ro/oferta/sagului-1-cam-pretabil-pentru-investitie-IDeboI.html#d999e08e80
Ocazie  posibilitate de investite  foarte aproape de Mall!,19 500 €,25 m²,1 camera,780 €/m²,https://www.storia.ro/oferta/ocazie-posibilitate-de-investite-foarte-aproape-de-mall-IDdP85.html#d999e08e80
Apartament 1 camera  Piata Unirii,26 500 €,12 m²,1 camera,2 208 €/m²,https://www.storia.ro/oferta/apartament-1-camera-piata-unirii-IDeZdX.html#d999e08e80
Buziasului  1 camera  dec  centrala  ideala investitie,35 000 €,28 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/buziasului-1-camera-dec-centrala-ideala-investitie-IDeNz6.html#d999e08e80
Apartament cu o camera  32mp  centrala proprie  Buziasului,38 999 €,38 m²,1 camera,1 026 €/m²,https://www.storia.ro/oferta/apartament-cu-o-camera-32mp-centrala-proprie-buziasului-IDeZ7Y.html#d999e08e80
Garsoniera  Recent renovata  aproape de Judetean,31 500 €,25 m²,1 camera,1 260 €/m²,https://www.storia.ro/oferta/garsoniera-recent-renovata-aproape-de-judetean-IDeuSA.html#d999e08e80
Se vinde apartament in zona Sagului,38 000 €,48 m²,2 camere,792 €/m²,https://www.storia.ro/oferta/se-vinde-apartament-in-zona-sagului-IDf18P.html#d999e08e80
Steaua- 1 cam- Mobilat- clima- 19500 E!,19 500 €,19 m²,1 camera,1 026 €/m²,https://www.storia.ro/oferta/steaua-1-cam-mobilat-clima-19500-e-IDf181.html#d999e08e80
Dambovita- 1 cam- Potential Investitie- 38.000 Eu,38 000 €,43 m²,1 camera,884 €/m²,https://www.storia.ro/oferta/dambovita-1-cam-potential-investitie-38-000-eu-IDbJ1i.html#d999e08e80
FM853 Zona Odobescu  Apartament 1 camera  Renovat,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/fm853-zona-odobescu-apartament-1-camera-renovat-IDeLoY.html#d999e08e80
1 camera  30 mp  zona Lunei,39 000 €,36 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/1-camera-30-mp-zona-lunei-IDeCWo.html#d999e08e80
AT040  Apartament 1 Camera  Zona Buziasului  Mobilat,33 000 €,36 m²,1 camera,917 €/m²,https://www.storia.ro/oferta/at040-apartament-1-camera-zona-buziasului-mobilat-IDeVfF.html#d999e08e80
Buziasului  Apartament 1 camera 35mp,39 000 €,42 m²,1 camera,929 €/m²,https://www.storia.ro/oferta/buziasului-apartament-1-camera-35mp-IDaUau.html#d999e08e80
Lipovei- 1 cam- Investitie- 41.000 Eu,41 000 €,42 m²,1 camera,976 €/m²,https://www.storia.ro/oferta/lipovei-1-cam-investitie-41-000-eu-IDdPWH.html#d999e08e80
Apartament 1 camera  decomandat.,43 000 €,37 m²,1 camera,1 162 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-IDewy5.html#d999e08e80
Braytim Ap 1 cam Nou   La Cheie,42 000 €,45 m²,1 camera,933 €/m²,https://www.storia.ro/oferta/braytim-ap-1-cam-nou-la-cheie-IDdCjq.html#d999e08e80
Zona Buziasului  pentru investitie pe termen lung,27 800 €,26 m²,1 camera,1 069 €/m²,https://www.storia.ro/oferta/zona-buziasului-pentru-investitie-pe-termen-lung-IDeJd1.html#d999e08e80
Apartament 1 camera decomandat  30 mp  Buziasului,33 000 €,36 m²,1 camera,917 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-30-mp-buziasului-IDeY4l.html#d999e08e80
ap. 1 camera  32 mp  mobilat  parter  Aradului,45 000 €,38 m²,1 camera,1 184 €/m²,https://www.storia.ro/oferta/ap-1-camera-32-mp-mobilat-parter-aradului-IDesf9.html#d999e08e80
Aradului- 1 cam-2 min Mall- Potential Investitie- 40500 Eu,40 500 €,43 m²,1 camera,942 €/m²,https://www.storia.ro/oferta/aradului-1-cam-2-min-mall-potential-investitie-40500-eu-IDeC6B.html#d999e08e80
Ideal pentru investitie  zona Buziasului,35 000 €,25 m²,1 camera,1 400 €/m²,https://www.storia.ro/oferta/ideal-pentru-investitie-zona-buziasului-IDePyK.html#d999e08e80
Sagului in fata - Kaufland Mega Image   in curs de mansardare,45 000 €,45 m²,2 camere,1 000 €/m²,https://www.storia.ro/oferta/sagului-in-fata-kaufland-mega-image-in-curs-de-mansardare-IDcx41.html#d999e08e80
Cetatii- 1 cam- Ideal Investitie- 45.000 Eu,45 000 €,46 m²,1 camera,978 €/m²,https://www.storia.ro/oferta/cetatii-1-cam-ideal-investitie-45-000-eu-IDf0DJ.html#d999e08e80
Lipovei - Ap. 1 cam - 5 minute de Iulius Mall,34 000 €,25 m²,1 camera,1 360 €/m²,https://www.storia.ro/oferta/lipovei-ap-1-cam-5-minute-de-iulius-mall-IDdVH0.html#d999e08e80
AT035  Apartament 1 Camera  Zona Cetatii  Mobilat,45 000 €,42 m²,1 camera,1 071 €/m²,https://www.storia.ro/oferta/at035-apartament-1-camera-zona-cetatii-mobilat-IDeWwD.html#d999e08e80
Giroc ap cu o camera 44.000 euro neg,44 000 €,45 m²,1 camera,978 €/m²,https://www.storia.ro/oferta/giroc-ap-cu-o-camera-44-000-euro-neg-IDeFW6.html#d999e08e80
Garsoniera Renovata zona Bucovina,34 000 €,20 m²,1 camera,1 700 €/m²,https://www.storia.ro/oferta/garsoniera-renovata-zona-bucovina-IDdWS6.html#d999e08e80
Complex Studentesc  Garsoniera 18 mp.,27 500 €,21 m²,1 camera,1 310 €/m²,https://www.storia.ro/oferta/complex-studentesc-garsoniera-18-mp-IDdbvN.html#d999e08e80
Apartament 1 camera 32mp Stadion,39 900 €,39 m²,1 camera,1 023 €/m²,https://www.storia.ro/oferta/apartament-1-camera-32mp-stadion-IDdzUq.html#d999e08e80
Apartament 1 camera Fabric!,38 500 €,35 m²,1 camera,1 100 €/m²,https://www.storia.ro/oferta/apartament-1-camera-fabric-IDcPwg.html#d999e08e80
OP485 Badea Cartan  Apartament 1 Camera  Semidecomandat,45 000 €,35 m²,1 camera,1 286 €/m²,https://www.storia.ro/oferta/op485-badea-cartan-apartament-1-camera-semidecomandat-IDcoir.html#d999e08e80
1 camera   confort 1  Dambovita,40 500 €,45 m²,1 camera,900 €/m²,https://www.storia.ro/oferta/1-camera-confort-1-dambovita-IDf1Qk.html#d999e08e80
Perfecta pentru investitie  Complexul Studentesc,32 000 €,20 m²,1 camera,1 600 €/m²,https://www.storia.ro/oferta/perfecta-pentru-investitie-complexul-studentesc-IDf0mC.html#d999e08e80
AR258 Apartament 1 camera  Zona Circumvalatiunii  Renovat,42 000 €,40 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/ar258-apartament-1-camera-zona-circumvalatiunii-renovat-IDeXfT.html#d999e08e80
Apartament 1 camera decomandat  35 mp  Sagului,40 000 €,41 m²,1 camera,976 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-35-mp-sagului-IDf0O4.html#d999e08e80
Garsonieră în zona Buziaşului vizavi de Continental!,22 000 €,18 m²,1 camera,1 222 €/m²,https://www.storia.ro/oferta/garsonier-n-zona-buziaului-vizavi-de-continental-IDf0Dq.html#d999e08e80
