Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
Garsoniera cocheta  zona Aradului  merita vizionata,27 000 €,25 m²,1 camera,1 080 €/m²,https://www.storia.ro/oferta/garsoniera-cocheta-zona-aradului-merita-vizionata-IDeCU1.html#d999e08e80
Parter lipovei - Holdelor 28.900€ 1 km pana la mall,28 900 €,22 m²,1 camera,1 314 €/m²,https://www.storia.ro/oferta/parter-lipovei-holdelor-28-900-1-km-pana-la-mall-IDeZDI.html#d999e08e80
Apartament spatios,31 000 €,42 m²,1 camera,738 €/m²,https://www.storia.ro/oferta/apartament-spatios-IDeEqm.html#d999e08e80
Blascovici- 1 cam- et 3- aproape de parc- mobilat  utilat!,41 000 €,43 m²,1 camera,953 €/m²,https://www.storia.ro/oferta/blascovici-1-cam-et-3-aproape-de-parc-mobilat-utilat-IDeQWD.html#d999e08e80
Etaj Intermediar. Aproape de Mijloace de Transport. Mobilat Utilat.,40 500 €,42 m²,2 camere,964 €/m²,https://www.storia.ro/oferta/etaj-intermediar-aproape-de-mijloace-de-transport-mobilat-utilat-IDeXm1.html#d999e08e80
Bogdanestilor- Ap 1 cam-  Decomandat- Mobilat  utilat!,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/bogdanestilor-ap-1-cam-decomandat-mobilat-utilat-IDf1U8.html#d999e08e80
Apartament 1 camera complet mobilat  cu centrala,39 000 €,38 m²,1 camera,1 026 €/m²,https://www.storia.ro/oferta/apartament-1-camera-complet-mobilat-cu-centrala-IDeNDp.html#d999e08e80
Zona Balcescu cu intrare din strada,27 000 €,34 m²,1 camera,794 €/m²,https://www.storia.ro/oferta/zona-balcescu-cu-intrare-din-strada-ID5Q9K.html#d999e08e80
Vand garsoniera  zona Buziasului,28 500 €,29 m²,1 camera,983 €/m²,https://www.storia.ro/oferta/vand-garsoniera-zona-buziasului-IDf5TT.html#d999e08e80
OP717 Badea Cartan  Garsoniera Mobilata si Utilata,37 500 €,26 m²,1 camera,1 442 €/m²,https://www.storia.ro/oferta/op717-badea-cartan-garsoniera-mobilata-si-utilata-IDeO2N.html#d999e08e80
AT024  Apartament 1 Camera  Zona Complex  Pozitie Excelenta,28 500 €,20 m²,1 camera,1 425 €/m²,https://www.storia.ro/oferta/at024-apartament-1-camera-zona-complex-pozitie-excelenta-IDeTvX.html#d999e08e80
Blascovici - mobilat - clima - etaj 3 - 1 balcon,41 000 €,35 m²,1 camera,1 171 €/m²,https://www.storia.ro/oferta/blascovici-mobilat-clima-etaj-3-1-balcon-IDevxD.html#d999e08e80
Apartament 1 cameră  30 mp în Timișoara,45 000 €,36 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/apartament-1-camer-30-mp-n-timioara-IDeCTT.html#d999e08e80
Garsoniera  SU 25mp  in zona Padurea Verde  Timisoara,34 000 €,32 m²,1 camera,1 063 €/m²,https://www.storia.ro/oferta/garsoniera-su-25mp-in-zona-padurea-verde-timisoara-IDeKVv.html#d999e08e80
Apartament 1 camera situat in Complexul Studentesc,32 000 €,32 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/apartament-1-camera-situat-in-complexul-studentesc-IDeut6.html#d999e08e80
Garsoniera Soarelui,29 500 €,16 m²,1 camera,1 844 €/m²,https://www.storia.ro/oferta/garsoniera-soarelui-IDf083.html#d999e08e80
Ap 1 Camera Renovat +curte 20mp zona Odobescu 45.000 euro,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/ap-1-camera-renovat-curte-20mp-zona-odobescu-45-000-euro-IDf64S.html#d999e08e80
Apartament 1 Camera Decomandat cu Balcon zona Soarelui,42 000 €,40 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-cu-balcon-zona-soarelui-IDeK0V.html#d999e08e80
1 camera  decomandat  44 mp  Dambovita,40 000 €,48 m²,1 camera,833 €/m²,https://www.storia.ro/oferta/1-camera-decomandat-44-mp-dambovita-IDeY6y.html#d999e08e80
