Column1,Column2,Column3,Column4,Column5,Column6
Garsoniera Soarelui,29 500 €,16 m²,1 camera,1 844 €/m²,https://www.storia.ro/oferta/garsoniera-soarelui-IDf083.html#71f6fe6c4c
Garsoniera zona Complex Studentesc-Stadion,31 000 €,28 m²,1 camera,1 107 €/m²,https://www.storia.ro/oferta/garsoniera-zona-complex-studentesc-stadion-ID9zUq.html#71f6fe6c4c
Complex-Olimpia   Apartament  1 camera 36.500 Euro,36 500 €,33 m²,1 camera,1 106 €/m²,https://www.storia.ro/oferta/complex-olimpia-apartament-1-camera-36-500-euro-IDa94a.html#71f6fe6c4c
Garsoniera 24 mp  etaj intermediar  centrala proprie,30 000 €,27 m²,1 camera,1 111 €/m²,https://www.storia.ro/oferta/garsoniera-24-mp-etaj-intermediar-centrala-proprie-IDf0WL.html#71f6fe6c4c
Complex Studentesc   Apartament  1 camera 35.000 Euro,35 000 €,38 m²,1 camera,921 €/m²,https://www.storia.ro/oferta/complex-studentesc-apartament-1-camera-35-000-euro-ID9TVL.html#71f6fe6c4c
Apartament decomandat cu centrala,38 500 €,38 m²,1 camera,1 013 €/m²,https://www.storia.ro/oferta/apartament-decomandat-cu-centrala-IDf4wY.html#71f6fe6c4c
Complex Studentesc  etaj 1  ideala pentru investitie,29 500 €,22 m²,1 camera,1 341 €/m²,https://www.storia.ro/oferta/complex-studentesc-etaj-1-ideala-pentru-investitie-IDf0I2.html#71f6fe6c4c
1 camera Buziasului,36 000 €,35 m²,1 camera,1 029 €/m²,https://www.storia.ro/oferta/1-camera-buziasului-IDdXpv.html#71f6fe6c4c
Garsoniera LUX zona Complex Studentesc,32 500 €,20 m²,1 camera,1 625 €/m²,https://www.storia.ro/oferta/garsoniera-lux-zona-complex-studentesc-IDeVot.html#71f6fe6c4c
De vanzare garsoniera in Zona Tipografilor,37 000 €,26 m²,1 camera,1 423 €/m²,https://www.storia.ro/oferta/de-vanzare-garsoniera-in-zona-tipografilor-IDeGj8.html#71f6fe6c4c
Apartament 1 camera  21 mp  zona Iosefin,34 000 €,25 m²,1 camera,1 360 €/m²,https://www.storia.ro/oferta/apartament-1-camera-21-mp-zona-iosefin-IDeWri.html#71f6fe6c4c
Garsonieră în Complexul Studențesc,32 500 €,24 m²,1 camera,1 354 €/m²,https://www.storia.ro/oferta/garsonier-n-complexul-studenesc-IDeFMP.html#71f6fe6c4c
Garsoniera confort 1  Lunei,39 000 €,36 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/garsoniera-confort-1-lunei-IDeT4b.html#71f6fe6c4c
Garsoniera etaj 1 !,32 900 €,28 m²,1 camera,1 175 €/m²,https://www.storia.ro/oferta/garsoniera-etaj-1-IDeTVY.html#71f6fe6c4c
Apartament 1 camera  curte comuna  zona Cetatii,35 999 €,32.40 m²,1 camera,1 111 €/m²,https://www.storia.ro/oferta/apartament-1-camera-curte-comuna-zona-cetatii-IDeTd5.html#71f6fe6c4c
OP735 Soarelui Garsoniera Mobilata si Utilata,35 000 €,28 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/op735-soarelui-garsoniera-mobilata-si-utilata-IDeWVj.html#71f6fe6c4c
AR108 Garsoniera  Zona Buziasului,30 000 €,28 m²,1 camera,1 071 €/m²,https://www.storia.ro/oferta/ar108-garsoniera-zona-buziasului-IDdsdT.html#71f6fe6c4c
Girocului Ap 1 cam,23 000 €,18 m²,1 camera,1 278 €/m²,https://www.storia.ro/oferta/girocului-ap-1-cam-IDe5nK.html#71f6fe6c4c
1 camera  30 mp  zona Lunei,39 000 €,36 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/1-camera-30-mp-zona-lunei-IDeCWo.html#71f6fe6c4c
Braytim Ap 1 cam Nou   La Cheie,36 000 €,39 m²,1 camera,923 €/m²,https://www.storia.ro/oferta/braytim-ap-1-cam-nou-la-cheie-IDex1F.html#71f6fe6c4c
Aradului amenajat 33mp,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/aradului-amenajat-33mp-IDd7tt.html#71f6fe6c4c
Garsoniera  zona Buziasului,29 000 €,29 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/garsoniera-zona-buziasului-ID9pVX.html#71f6fe6c4c
Calea Aradului Garsoniera  Renovata Mobilata,24 000 €,19 m²,1 camera,1 263 €/m²,https://www.storia.ro/oferta/calea-aradului-garsoniera-renovata-mobilata-IDdvsy.html#71f6fe6c4c
Garsoniera 18mp zona Complex Studentesc,27 999 €,22 m²,1 camera,1 273 €/m²,https://www.storia.ro/oferta/garsoniera-18mp-zona-complex-studentesc-IDdvaS.html#71f6fe6c4c
Inchiriaza-l imediat  zona Telegrafului,36 500 €,22 m²,1 camera,1 659 €/m²,https://www.storia.ro/oferta/inchiriaza-l-imediat-zona-telegrafului-IDePjF.html#71f6fe6c4c
Perfecta pentru investitie  Complexul Studentesc,32 000 €,20 m²,1 camera,1 600 €/m²,https://www.storia.ro/oferta/perfecta-pentru-investitie-complexul-studentesc-IDf0mC.html#71f6fe6c4c
Apartament 1 camera 32mp Stadion,39 900 €,39 m²,1 camera,1 023 €/m²,https://www.storia.ro/oferta/apartament-1-camera-32mp-stadion-IDdzUq.html#71f6fe6c4c
Stadion  Garsoniera    28.000 Euro,28 000 €,30 m²,1 camera,933 €/m²,https://www.storia.ro/oferta/stadion-garsoniera-28-000-euro-ID9CuD.html#71f6fe6c4c
Apartament 1 Camera Decomandat cu Balcon zona Buziasului,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-cu-balcon-zona-buziasului-IDdOer.html#71f6fe6c4c
1 camera Buziasului,23 800 €,18 m²,1 camera,1 322 €/m²,https://www.storia.ro/oferta/1-camera-buziasului-IDdXot.html#71f6fe6c4c
Buziasului  racordat la gaz  ideal ca investitie,32 800 €,29 m²,1 camera,1 131 €/m²,https://www.storia.ro/oferta/buziasului-racordat-la-gaz-ideal-ca-investitie-IDcY9A.html#71f6fe6c4c
Garsoniera  zona Buziasului,31 000 €,32 m²,1 camera,969 €/m²,https://www.storia.ro/oferta/garsoniera-zona-buziasului-IDf3ik.html#71f6fe6c4c
Garsoniera zona Girocului,27 500 €,20 m²,1 camera,1 375 €/m²,https://www.storia.ro/oferta/garsoniera-zona-girocului-IDf1et.html#71f6fe6c4c
OP356 Zona Iosefin  Garsoniera  Decomandata  Mobilata si Utilata,33 500 €,25 m²,1 camera,1 340 €/m²,https://www.storia.ro/oferta/op356-zona-iosefin-garsoniera-decomandata-mobilata-si-utilata-IDaadG.html#71f6fe6c4c
LUX Apartament 1 Camera Bloc NOU zona Braytim,42 000 €,40 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/lux-apartament-1-camera-bloc-nou-zona-braytim-IDe8tz.html#71f6fe6c4c
