Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
OP707 Bucovina  Apartament 1 Camera  Etaj Intermediar,51 000 €,36 m²,1 camera,1 417 €/m²,https://www.storia.ro/oferta/op707-bucovina-apartament-1-camera-etaj-intermediar-IDeKxt.html#71f6fe6c4c
OT972 Apartament 1 Camera  Mobilat-Utilat  Zona Sagului-Iosefin,35 000 €,35 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/ot972-apartament-1-camera-mobilat-utilat-zona-sagului-iosefin-IDeK7B.html#71f6fe6c4c
Girocului parter 38500€,38 500 €,30 m²,1 camera,1 283 €/m²,https://www.storia.ro/oferta/girocului-parter-38500-IDeZ7g.html#71f6fe6c4c
Buziasului  1 camera  dec  centrala  ideala investitie,35 000 €,28 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/buziasului-1-camera-dec-centrala-ideala-investitie-IDeNz6.html#71f6fe6c4c
Garsoniera  Recent renovata  aproape de Judetean,31 500 €,25 m²,1 camera,1 260 €/m²,https://www.storia.ro/oferta/garsoniera-recent-renovata-aproape-de-judetean-IDeuSA.html#71f6fe6c4c
Sagului- 1 cam- Pretabil pentru investitie!,19 500 €,23 m²,1 camera,848 €/m²,https://www.storia.ro/oferta/sagului-1-cam-pretabil-pentru-investitie-IDeboI.html#71f6fe6c4c
Ocazie  posibilitate de investite  foarte aproape de Mall!,19 500 €,25 m²,1 camera,780 €/m²,https://www.storia.ro/oferta/ocazie-posibilitate-de-investite-foarte-aproape-de-mall-IDdP85.html#71f6fe6c4c
Apartament 1 camera  decomandat.,43 000 €,37 m²,1 camera,1 162 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-IDewy5.html#71f6fe6c4c
Steaua- 1 cam- Mobilat- clima- 19500 E!,19 500 €,19 m²,1 camera,1 026 €/m²,https://www.storia.ro/oferta/steaua-1-cam-mobilat-clima-19500-e-IDf181.html#71f6fe6c4c
FM853 Zona Odobescu  Apartament 1 camera  Renovat,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/fm853-zona-odobescu-apartament-1-camera-renovat-IDeLoY.html#71f6fe6c4c
AT040  Apartament 1 Camera  Zona Buziasului  Mobilat,33 000 €,36 m²,1 camera,917 €/m²,https://www.storia.ro/oferta/at040-apartament-1-camera-zona-buziasului-mobilat-IDeVfF.html#71f6fe6c4c
Apartament 1 camera decomandat  30 mp  Buziasului,33 000 €,36 m²,1 camera,917 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-30-mp-buziasului-IDeY4l.html#71f6fe6c4c
Zona Buziasului  pentru investitie pe termen lung,27 800 €,26 m²,1 camera,1 069 €/m²,https://www.storia.ro/oferta/zona-buziasului-pentru-investitie-pe-termen-lung-IDeJd1.html#71f6fe6c4c
OP707 Bucovina  Apartament 1 Camera  Etaj Intermediar,51 000 €,36 m²,1 camera,1 417 €/m²,https://www.storia.ro/oferta/op707-bucovina-apartament-1-camera-etaj-intermediar-IDeKxt.html#71f6fe6c4c
ap. 1 camera  32 mp  mobilat  parter  Aradului,45 000 €,38 m²,1 camera,1 184 €/m²,https://www.storia.ro/oferta/ap-1-camera-32-mp-mobilat-parter-aradului-IDesf9.html#71f6fe6c4c
Ideal pentru investitie  zona Buziasului,35 000 €,25 m²,1 camera,1 400 €/m²,https://www.storia.ro/oferta/ideal-pentru-investitie-zona-buziasului-IDePyK.html#71f6fe6c4c
Lipovei - Ap. 1 cam - 5 minute de Iulius Mall,34 000 €,25 m²,1 camera,1 360 €/m²,https://www.storia.ro/oferta/lipovei-ap-1-cam-5-minute-de-iulius-mall-IDdVH0.html#71f6fe6c4c
OP485 Badea Cartan  Apartament 1 Camera  Semidecomandat,45 000 €,35 m²,1 camera,1 286 €/m²,https://www.storia.ro/oferta/op485-badea-cartan-apartament-1-camera-semidecomandat-IDcoir.html#71f6fe6c4c
Garsoniera Renovata zona Bucovina,34 000 €,20 m²,1 camera,1 700 €/m²,https://www.storia.ro/oferta/garsoniera-renovata-zona-bucovina-IDdWS6.html#71f6fe6c4c
Girocului Sp Comercial 1 cam 29m,36 000 €,35 m²,1 camera,1 029 €/m²,https://www.storia.ro/oferta/girocului-sp-comercial-1-cam-29m-IDdFXv.html#71f6fe6c4c
Complex Studentesc  Garsoniera 18 mp.,27 500 €,21 m²,1 camera,1 310 €/m²,https://www.storia.ro/oferta/complex-studentesc-garsoniera-18-mp-IDdbvN.html#71f6fe6c4c
Zona Buziasului  ideala pentru investitie pe termen lung,28 700 €,26 m²,1 camera,1 104 €/m²,https://www.storia.ro/oferta/zona-buziasului-ideala-pentru-investitie-pe-termen-lung-IDeT3R.html#71f6fe6c4c
Apartament 1 camera Fabric!,38 500 €,35 m²,1 camera,1 100 €/m²,https://www.storia.ro/oferta/apartament-1-camera-fabric-IDcPwg.html#71f6fe6c4c
Garsoniera  zona Dacia,40 500 €,26.40 m²,1 camera,1 534 €/m²,https://www.storia.ro/oferta/garsoniera-zona-dacia-IDeZcW.html#71f6fe6c4c
OT914 Apartament 1 Camera  Amenajat  Liviu Rebreanu,46 500 €,33 m²,1 camera,1 409 €/m²,https://www.storia.ro/oferta/ot914-apartament-1-camera-amenajat-liviu-rebreanu-IDesXy.html#71f6fe6c4c
AR258 Apartament 1 camera  Zona Circumvalatiunii  Renovat,42 000 €,40 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/ar258-apartament-1-camera-zona-circumvalatiunii-renovat-IDeXfT.html#71f6fe6c4c
Garsonieră în zona Buziaşului vizavi de Continental!,22 000 €,18 m²,1 camera,1 222 €/m²,https://www.storia.ro/oferta/garsonier-n-zona-buziaului-vizavi-de-continental-IDf0Dq.html#71f6fe6c4c
OP584 Ghiroda  Apartamente cu 1 si 2 Camere  Bloc Nou,35 000 €,33 m²,1 camera,1 061 €/m²,https://www.storia.ro/oferta/op584-ghiroda-apartamente-cu-1-si-2-camere-bloc-nou-IDdKpg.html#71f6fe6c4c
Renovat Complexul Studentesc,28 500 €,20 m²,1 camera,1 425 €/m²,https://www.storia.ro/oferta/renovat-complexul-studentesc-IDecQ6.html#71f6fe6c4c
Garsoniera UMT,23 000 €,17 m²,1 camera,1 353 €/m²,https://www.storia.ro/oferta/garsoniera-umt-IDeWgt.html#71f6fe6c4c
OT943 Garsoniera  Parter  Zona Aradului,40 500 €,30 m²,1 camera,1 350 €/m²,https://www.storia.ro/oferta/ot943-garsoniera-parter-zona-aradului-IDeEfS.html#71f6fe6c4c
Apartament 1 camera decomandat  32 mp  Buziasului,45 000 €,38 m²,1 camera,1 184 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-32-mp-buziasului-IDeTf7.html#71f6fe6c4c
Buziasului  Apartament 1 camera,33 200 €,26 m²,1 camera,1 277 €/m²,https://www.storia.ro/oferta/buziasului-apartament-1-camera-IDcTjr.html#71f6fe6c4c
Garsoniera Blascovici ( langa stadionul CFR)   24 mp utili  etaj 3.,23 700 €,28 m²,1 camera,846 €/m²,https://www.storia.ro/oferta/garsoniera-blascovici-langa-stadionul-cfr-24-mp-utili-etaj-3-ID3ZRm.html#71f6fe6c4c
Zona Stadion Garsoniera,34 000 €,26 m²,1 camera,1 308 €/m²,https://www.storia.ro/oferta/zona-stadion-garsoniera-IDexvF.html#71f6fe6c4c
COMPLEX garsoniera la parter 26mp pozitie foarte buna,34 999 €,30 m²,1 camera,1 167 €/m²,https://www.storia.ro/oferta/complex-garsoniera-la-parter-26mp-pozitie-foarte-buna-ID83EF.html#71f6fe6c4c
Garsoniera 25 mp in zona Muzeul Satului,32 500 €,30 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/garsoniera-25-mp-in-zona-muzeul-satului-IDePYL.html#71f6fe6c4c
1 camera   zona Cetatii,38 500 €,38 m²,1 camera,1 013 €/m²,https://www.storia.ro/oferta/1-camera-zona-cetatii-IDeMqu.html#71f6fe6c4c
OT026 Garsoniera  Mobilata-Utilata  Zona Buziasului,27 500 €,22 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/ot026-garsoniera-mobilata-utilata-zona-buziasului-IDf4uh.html#71f6fe6c4c
Garsoniera  SU 25mp  in zona Padurea Verde  Timisoara,34 000 €,32 m²,1 camera,1 063 €/m²,https://www.storia.ro/oferta/garsoniera-su-25mp-in-zona-padurea-verde-timisoara-IDeKVv.html#71f6fe6c4c
