Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
Parter lipovei - Holdelor 28.900€ 1 km pana la mall,28 900 €,22 m²,1 camera,1 314 €/m²,https://www.storia.ro/oferta/parter-lipovei-holdelor-28-900-1-km-pana-la-mall-IDeZDI.html#ce92ea4a7d
Garsoniera cocheta  zona Aradului  merita vizionata,27 000 €,25 m²,1 camera,1 080 €/m²,https://www.storia.ro/oferta/garsoniera-cocheta-zona-aradului-merita-vizionata-IDeCU1.html#ce92ea4a7d
Garsoniera confort 1  Lunei,39 000 €,36 m²,1 camera,1 083 €/m²,https://www.storia.ro/oferta/garsoniera-confort-1-lunei-IDeT4b.html#ce92ea4a7d
Apartament 1 camera bloc nou Bucovina!,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/apartament-1-camera-bloc-nou-bucovina-IDduuI.html#ce92ea4a7d
Garsoniera  renovata  zona Semicentrala,19 900 €,14.40 m²,1 camera,1 382 €/m²,https://www.storia.ro/oferta/garsoniera-renovata-zona-semicentrala-IDf44G.html#ce92ea4a7d
Garsoniera in zona Aradului,32 000 €,27 m²,1 camera,1 185 €/m²,https://www.storia.ro/oferta/garsoniera-in-zona-aradului-IDf0lj.html#ce92ea4a7d
1 camera  22mp  merita vizionata,28 500 €,26.40 m²,1 camera,1 080 €/m²,https://www.storia.ro/oferta/1-camera-22mp-merita-vizionata-IDeD0H.html#ce92ea4a7d
Modern- Garsoniera - Renovat,21 000 €,20 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/modern-garsoniera-renovat-IDdUCB.html#ce92ea4a7d
OT028 Garsoniera  Mobilata-Utilata  Zona Blascovici,32 500 €,24 m²,1 camera,1 354 €/m²,https://www.storia.ro/oferta/ot028-garsoniera-mobilata-utilata-zona-blascovici-IDf4yR.html#ce92ea4a7d
De vanzare garsoniera in Zona Tipografilor din Timisoara,38 500 €,32 m²,1 camera,1 203 €/m²,https://www.storia.ro/oferta/de-vanzare-garsoniera-in-zona-tipografilor-din-timisoara-IDeGjh.html#ce92ea4a7d
Garsonieră etaj intermediar UMT,22 900 €,16 m²,1 camera,1 431 €/m²,https://www.storia.ro/oferta/garsonier-etaj-intermediar-umt-IDeWgG.html#ce92ea4a7d
Buziasului  ideal ca investitie,30 000 €,29 m²,1 camera,1 034 €/m²,https://www.storia.ro/oferta/buziasului-ideal-ca-investitie-IDdreY.html#ce92ea4a7d
Zona Telegrafului  garsoniera pretabila pentru investitie,37 500 €,26 m²,1 camera,1 442 €/m²,https://www.storia.ro/oferta/zona-telegrafului-garsoniera-pretabila-pentru-investitie-IDf4WC.html#ce92ea4a7d
Buziasului  etaj intermediar  mobilat si utilat,40 000 €,35 m²,1 camera,1 143 €/m²,https://www.storia.ro/oferta/buziasului-etaj-intermediar-mobilat-si-utilat-IDf4H7.html#ce92ea4a7d
Buziasului  garsoniera  parter 24mp utililata si mobilata,29 999 €,30 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/buziasului-garsoniera-parter-24mp-utililata-si-mobilata-IDf0WG.html#ce92ea4a7d
AR169 Garsoniera  Zona Complexul Studentesc,30 000 €,25 m²,1 camera,1 200 €/m²,https://www.storia.ro/oferta/ar169-garsoniera-zona-complexul-studentesc-IDe2Vz.html#ce92ea4a7d
Giroc - 1 Cam - Centrala - Balcon - Parcare - Mobilier - NOU!,40 900 €,38 m²,1 camera,1 076 €/m²,https://www.storia.ro/oferta/giroc-1-cam-centrala-balcon-parcare-mobilier-nou-IDeWKs.html#ce92ea4a7d
OP697 Badea Cartan Apartament 1 Camera  Etaj Intermediar,47 000 €,33 m²,1 camera,1 424 €/m²,https://www.storia.ro/oferta/op697-badea-cartan-apartament-1-camera-etaj-intermediar-IDeFDs.html#ce92ea4a7d
Sagului  Ap 1 cam  decomandat 32mp UTIL,39 000 €,40 m²,1 camera,975 €/m²,https://www.storia.ro/oferta/sagului-ap-1-cam-decomandat-32mp-util-IDf0lp.html#ce92ea4a7d
AR197 Apartament 1 camera  Zona Girocului,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/ar197-apartament-1-camera-zona-girocului-IDekXg.html#ce92ea4a7d
Blascovici- 1 cam- Zona Investitie- 25.500 Eu,25 500 €,28 m²,1 camera,911 €/m²,https://www.storia.ro/oferta/blascovici-1-cam-zona-investitie-25-500-eu-ID8zIE.html#ce92ea4a7d
UMT garsoniera baie proprie,21 500 €,18 m²,1 camera,1 194 €/m²,https://www.storia.ro/oferta/umt-garsoniera-baie-proprie-ID9TIc.html#ce92ea4a7d
Lipovei - Garsoniera/Ap.1 cam,40 000 €,32 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/lipovei-garsoniera-ap-1-cam-IDdytu.html#ce92ea4a7d
OT987 Apartament 1 Camera  Mobilat-Utilat  Zona Girocului,45 000 €,30 m²,1 camera,1 500 €/m²,https://www.storia.ro/oferta/ot987-apartament-1-camera-mobilat-utilat-zona-girocului-IDeOXt.html#ce92ea4a7d
