Column1,Column2,Column3,Column4,Column5,Column6
title,price,area,rooms,price/m2,link
Sagului- 1 cam- Potential investitional!,19 500 €,25 m²,1 camera,780 €/m²,https://www.storia.ro/oferta/sagului-1-cam-potential-investitional-IDexXH.html#9fafbb36a1
Bogdanestilor- Zona linistita-1 cam- et 3- spatios!,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/bogdanestilor-zona-linistita-1-cam-et-3-spatios-IDeMJI.html#9fafbb36a1
Bogdanestilor - renovat - spatios- etaj 3 - negociabil!,41 000 €,35 m²,1 camera,1 171 €/m²,https://www.storia.ro/oferta/bogdanestilor-renovat-spatios-etaj-3-negociabil-IDeAjM.html#9fafbb36a1
OT986 Apartament 1 Camera  Mobilat Si Utilat  Complexul Studentesc,53 500 €,37 m²,1 camera,1 446 €/m²,https://www.storia.ro/oferta/ot986-apartament-1-camera-mobilat-si-utilat-complexul-studentesc-IDeOJQ.html#9fafbb36a1
Vis a Vis de Shopping City. Disponibilitate Imediat.,28 500 €,27 m²,1 camera,1 056 €/m²,https://www.storia.ro/oferta/vis-a-vis-de-shopping-city-disponibilitate-imediat-IDetP5.html#9fafbb36a1
Dezvoltator  a. 1 cam. dec. comfort 1  zona soarelui,43 750 €,35 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/dezvoltator-a-1-cam-dec-comfort-1-zona-soarelui-IDeMzT.html#9fafbb36a1
Ocazie Dambovita Decomandat- mobilat si utilat Centrala Proprie !,33 000 €,30 m²,1 camera,1 100 €/m²,https://www.storia.ro/oferta/ocazie-dambovita-decomandat-mobilat-si-utilat-centrala-proprie-IDf60V.html#9fafbb36a1
Blascovici- 1 cam- Decomandat- Mobilat  utilat!,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/blascovici-1-cam-decomandat-mobilat-utilat-IDevdX.html#9fafbb36a1
Garsoniera confort 1 zona Girocului !,45 000 €,30 m²,1 camera,1 500 €/m²,https://www.storia.ro/oferta/garsoniera-confort-1-zona-girocului-IDf6KG.html#9fafbb36a1
AR213 Apartament 1 camera  Zona Blascovici,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/ar213-apartament-1-camera-zona-blascovici-IDewPy.html#9fafbb36a1
Garsoniera in zona Lipovei,43 000 €,30 m²,1 camera,1 433 €/m²,https://www.storia.ro/oferta/garsoniera-in-zona-lipovei-IDetUv.html#9fafbb36a1
AT064  Apartament 1 Camera  Mobilat  Zona Blascovici,29 000 €,28 m²,1 camera,1 036 €/m²,https://www.storia.ro/oferta/at064-apartament-1-camera-mobilat-zona-blascovici-IDf1Ut.html#9fafbb36a1
1 Camera Lipovei,38 000 €,34 m²,1 camera,1 118 €/m²,https://www.storia.ro/oferta/1-camera-lipovei-IDf3y2.html#9fafbb36a1
Garsoniera Mobilata&utilata 30mp B-dul 16 Decembrie 34.000 euro,34 000 €,36 m²,1 camera,944 €/m²,https://www.storia.ro/oferta/garsoniera-mobilata-utilata-30mp-b-dul-16-decembrie-34-000-euro-IDeZ3t.html#9fafbb36a1
Garsoniera de vanzare zona sagului - piata doina,29 000 €,30 m²,1 camera,967 €/m²,https://www.storia.ro/oferta/garsoniera-de-vanzare-zona-sagului-piata-doina-IDeFMh.html#9fafbb36a1
Complex Studentesc  garsoniera cocheta  merita vazuta,29 500 €,20 m²,1 camera,1 475 €/m²,https://www.storia.ro/oferta/complex-studentesc-garsoniera-cocheta-merita-vazuta-IDf0I4.html#9fafbb36a1
Garsoniera complet mobilata si utilata in zona Muzeul Satului,35 000 €,31 m²,1 camera,1 129 €/m²,https://www.storia.ro/oferta/garsoniera-complet-mobilata-si-utilata-in-zona-muzeul-satului-IDf3Rz.html#9fafbb36a1
Sagului- 1 cam- Mobilat  utilat-19500 E,19 500 €,25 m²,1 camera,780 €/m²,https://www.storia.ro/oferta/sagului-1-cam-mobilat-utilat-19500-e-IDeGSw.html#9fafbb36a1
OP717 Badea Cartan  Garsoniera Mobilata si Utilata,37 500 €,26 m²,1 camera,1 442 €/m²,https://www.storia.ro/oferta/op717-badea-cartan-garsoniera-mobilata-si-utilata-IDeO2N.html#9fafbb36a1
Apartament 1 cameră  30 mp în Timișoara,45 000 €,36 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/apartament-1-camer-30-mp-n-timioara-IDeCTT.html#9fafbb36a1
Apartament 1 camera complet mobilat  cu centrala,39 000 €,38 m²,1 camera,1 026 €/m²,https://www.storia.ro/oferta/apartament-1-camera-complet-mobilat-cu-centrala-IDeNDp.html#9fafbb36a1
Vand garsoniera  zona Buziasului,28 500 €,29 m²,1 camera,983 €/m²,https://www.storia.ro/oferta/vand-garsoniera-zona-buziasului-IDf5TT.html#9fafbb36a1
Bogdanestilor- Ap 1 cam-  Decomandat- Mobilat  utilat!,41 000 €,40 m²,1 camera,1 025 €/m²,https://www.storia.ro/oferta/bogdanestilor-ap-1-cam-decomandat-mobilat-utilat-IDf1U8.html#9fafbb36a1
Steaua - oportunitate investitie - mobilat utilat -clima!,19 500 €,21 m²,1 camera,929 €/m²,https://www.storia.ro/oferta/steaua-oportunitate-investitie-mobilat-utilat-clima-IDdP2M.html#9fafbb36a1
Complex Studentesc  Garsoniera  22.800 Euro,22 800 €,15 m²,1 camera,1 520 €/m²,https://www.storia.ro/oferta/complex-studentesc-garsoniera-22-800-euro-IDe2XG.html#9fafbb36a1
Garsoniera 22mp  recent renovata  zona Buziasului,31 500 €,26 40 m²,1 camera,1 193 €/m²,https://www.storia.ro/oferta/garsoniera-22mp-recent-renovata-zona-buziasului-IDf3hl.html#9fafbb36a1
Apartament 1 camera situat in Complexul Studentesc,32 000 €,32 m²,1 camera,1 000 €/m²,https://www.storia.ro/oferta/apartament-1-camera-situat-in-complexul-studentesc-IDeut6.html#9fafbb36a1
Ap 1 Camera Renovat +curte 20mp zona Odobescu 45.000 euro,45 000 €,40 m²,1 camera,1 125 €/m²,https://www.storia.ro/oferta/ap-1-camera-renovat-curte-20mp-zona-odobescu-45-000-euro-IDf64S.html#9fafbb36a1
Zona Balcescu cu intrare din strada,27 000 €,34 m²,1 camera,794 €/m²,https://www.storia.ro/oferta/zona-balcescu-cu-intrare-din-strada-ID5Q9K.html#9fafbb36a1
Blascovici - mobilat - clima - etaj 3 - 1 balcon,41 000 €,35 m²,1 camera,1 171 €/m²,https://www.storia.ro/oferta/blascovici-mobilat-clima-etaj-3-1-balcon-IDevxD.html#9fafbb36a1
Ap o Camera  Take Ionescu,53 500 €,35 m²,1 camera,1 529 €/m²,https://www.storia.ro/oferta/ap-o-camera-take-ionescu-IDesxz.html#9fafbb36a1
AT024  Apartament 1 Camera  Zona Complex  Pozitie Excelenta,28 500 €,20 m²,1 camera,1 425 €/m²,https://www.storia.ro/oferta/at024-apartament-1-camera-zona-complex-pozitie-excelenta-IDeTvX.html#9fafbb36a1
AT020  Apartament 1 Camera  Zona Buziasului  Mobilat si Utilat,45 000 €,36 m²,1 camera,1 250 €/m²,https://www.storia.ro/oferta/at020-apartament-1-camera-zona-buziasului-mobilat-si-utilat-IDeT9E.html#9fafbb36a1
Apartament 1 Camera Decomandat cu Balcon zona Soarelui,42 000 €,40 m²,1 camera,1 050 €/m²,https://www.storia.ro/oferta/apartament-1-camera-decomandat-cu-balcon-zona-soarelui-IDeK0V.html#9fafbb36a1
Apartament cu o camera,46 500 €,30 m²,1 camera,1 550 €/m²,https://www.storia.ro/oferta/apartament-cu-o-camera-IDf16B.html#9fafbb36a1
Garsoniera  Calea Buziasului  AEM,31 000 €,24 m²,1 camera,1 292 €/m²,https://www.storia.ro/oferta/garsoniera-calea-buziasului-aem-IDf3io.html#9fafbb36a1
Garsoniera complet mobilata si utilata la etajul 1,31 000 €,28 m²,1 camera,1 107 €/m²,https://www.storia.ro/oferta/garsoniera-complet-mobilata-si-utilata-la-etajul-1-IDf418.html#9fafbb36a1
Bogdanestilor - langa mijloc de transport - etaj 3 - zona linistita!,41 000 €,35 m²,1 camera,1 171 €/m²,https://www.storia.ro/oferta/bogdanestilor-langa-mijloc-de-transport-etaj-3-zona-linistita-IDeRD2.html#9fafbb36a1
AT050  Apartament 1 Camera  Mobilat  Zona Buziasului,35 000 €,31 m²,1 camera,1 129 €/m²,https://www.storia.ro/oferta/at050-apartament-1-camera-mobilat-zona-buziasului-IDeYcc.html#9fafbb36a1
Apartament 1 camera  Piata Unirii,26 500 €,12 m²,1 camera,2 208 €/m²,https://www.storia.ro/oferta/apartament-1-camera-piata-unirii-IDeZdX.html#9fafbb36a1
Garsoniera de vanzare  zona medicina,31 000 €,27 m²,1 camera,1 148 €/m²,https://www.storia.ro/oferta/garsoniera-de-vanzare-zona-medicina-IDeEfy.html#9fafbb36a1
Apartament cu o camera  32mp  centrala proprie  Buziasului,38 999 €,38 m²,1 camera,1 026 €/m²,https://www.storia.ro/oferta/apartament-cu-o-camera-32mp-centrala-proprie-buziasului-IDeZ7Y.html#9fafbb36a1
OP630 Aradului  Garsoniera Renovata Nemobilata,30 500 €,25 m²,1 camera,1 220 €/m²,https://www.storia.ro/oferta/op630-aradului-garsoniera-renovata-nemobilata-IDekkS.html#9fafbb36a1
AR199 Apartament 1 camera  Zona Favorit,47 700 €,40 m²,1 camera,1 193 €/m²,https://www.storia.ro/oferta/ar199-apartament-1-camera-zona-favorit-IDelh3.html#9fafbb36a1
girocului lidia parter inalt 1 camera,38 500 €,30 m²,1 camera,1 283 €/m²,https://www.storia.ro/oferta/girocului-lidia-parter-inalt-1-camera-IDf4wM.html#9fafbb36a1
